Codigo_Pais_Origen,Codigo_Pais_Destino,1960,1970,1980,1990,2000
NER,ARG,2,0,0,1,0
NER,ARM,0,0,0,0,29
NER,AUT,4,3,5,8,16
NER,BHS,0,0,0,0,0
NER,BHR,0,0,0,0,0
NER,BMU,0,0,0,0,1
NER,BIH,0,0,0,0,0
NER,BWA,0,0,0,0,6
NER,BDI,1,0,0,7,5
NER,KHM,0,0,0,0,0
NER,CMR,1440,1620,1290,23,20
NER,CYM,0,0,0,13,0
NER,CAF,9,5,10,302,94
NER,CHL,0,0,0,2,10
NER,COL,0,0,0,0,0
NER,COM,0,0,0,0,0
NER,COG,8,14,2,4,0
NER,CRI,0,0,0,0,0
NER,CIV,17447,26974,34591,46894,57705
NER,CYP,0,3,6,8,5
NER,CZE,0,0,0,0,6
NER,DJI,2,3,7,11,14
NER,DOM,0,1,2,3,4
NER,ECU,0,0,0,0,3
NER,GNQ,0,0,0,0,0
NER,ERI,0,0,14,20,0
NER,ETH,161,153,161,170,178
NER,FIN,0,0,0,7,11
NER,PYF,0,0,0,0,0
NER,GIB,0,0,0,0,0
NER,GRC,0,11,3,9,20
NER,GUM,0,0,0,0,0
NER,GNB,4,4,4,9,9
NER,HUN,9,34,31,27,26
NER,IRQ,0,0,0,0,0
NER,IRL,0,0,0,1,6
NER,PRK,0,0,0,0,0
NER,KWT,0,0,0,0,0
NER,LSO,0,0,0,0,0
NER,LBR,16,0,0,0,0
NER,LUX,0,0,0,4,6
NER,MAC,0,0,0,0,0
NER,MDG,4,2,8,2,2
NER,MYS,0,0,0,2,6
NER,MLI,4224,4147,4071,3996,5583
NER,MLT,0,0,0,0,0
NER,MEX,0,0,0,1,0
NER,FSM,0,0,0,0,0
NER,MCO,0,1,0,1,1
NER,MSR,0,0,0,0,0
NER,NRU,0,0,0,0,0
NER,ANT,0,0,0,1,0
NER,NCL,0,0,0,0,0
NER,NIC,0,0,0,0,0
NER,NGA,8171,12738,99837,34660,58115
NER,NIU,0,0,0,0,0
NER,NOR,0,0,2,0,6
NER,OMN,0,0,0,0,0
NER,PLW,0,0,0,0,0
NER,PHL,0,0,0,0,0
NER,POL,0,0,0,0,1
NER,PRT,0,0,0,0,0
NER,RUS,0,0,0,0,382
NER,RWA,0,0,0,1,16
NER,SPM,0,0,0,0,0
NER,SMR,0,0,0,0,0
NER,SCG,0,0,0,0,0
NER,SLE,77,126,156,153,23
NER,SGP,0,0,0,1,4
NER,SOM,1,0,24,31,0
NER,KNA,0,0,0,0,0
NER,SDN,189,181,232,326,394
NER,SUR,0,0,0,0,0
NER,SYR,0,0,0,0,0
NER,TZA,0,0,5,14,3
NER,THA,0,0,0,0,0
NER,TUN,1,0,1,2,2
NER,UGA,8,8,8,8,11
NER,UKR,0,0,0,0,258
NER,VUT,0,0,0,0,0
NER,VGB,0,0,0,0,0
NGA,DZA,4,2,1,1,0
NGA,AIA,0,0,0,0,0
NGA,ATG,0,1,18,36,24
NGA,BHR,2,9,2,2,20
NGA,BGD,19,93,103,112,123
NGA,BLR,0,0,0,0,0
NGA,BTN,0,0,0,0,0
NGA,BDI,68,54,44,376,302
NGA,KHM,3,2,0,0,2
NGA,CMR,101964,114719,91346,85742,72187
NGA,CAN,1240,6964,12950,1909,10348
NGA,CYM,0,0,3,5,4
NGA,CHN,2,5,2,10,101
NGA,COL,1,2,3,4,37
NGA,COG,365,614,95,158,29
NGA,CUB,17,16,19,22,54
NGA,ERI,37,10,812,827,23
NGA,EST,0,0,0,0,0
NGA,FRO,4,5,6,7,2
NGA,GUF,0,0,2,4,6
NGA,GAB,1888,2403,4204,7553,11494
NGA,GEO,0,0,0,0,0
NGA,DEU,358,1825,3865,2911,15492
NGA,GRD,0,0,0,0,2
NGA,GTM,0,2,5,2,5
NGA,GNB,5,5,5,12,12
NGA,HUN,75,274,252,220,209
NGA,KEN,235,0,249,522,1694
NGA,LBN,0,0,2,9,383
NGA,LSO,8,5,2,2,16
NGA,MDG,270,155,366,79,71
NGA,MRT,44,73,122,54,60
NGA,MSR,0,0,0,0,0
NGA,NRU,0,0,1,0,0
NGA,NLD,3,256,706,2034,4097
NGA,NZL,21,83,147,150,356
NGA,NFK,0,0,0,0,0
NGA,NOR,11,28,133,311,424
NGA,OMN,8,12,28,82,121
NGA,PNG,1,3,4,3,3
NGA,ROU,0,0,0,0,0
NGA,RUS,0,0,0,0,0
NGA,STP,4,4,4,5,4
NGA,SLE,1004,1648,2035,2003,2000
